X	Y	OBJECTID	Id	CaseNumber	OccurredDate	OccurredMonth	OccurredYear	DateOfDeath	DateOfDeathMonth	DateOfDeathYear	DateDifference	CaseStatus	Address	Latitude	Longitude	Section	Beat	WeaponCategory	VictimCount	ArresteeCount	Zipcode
-77.65426879	43.15953957	186	1	00-014489	2000-01-13T05:00:00.000Z	1	2000	2000-01-13T05:00:00.000Z	1	2000	0	CLOSED	"1228 JAY ST, ROCHESTER, NY, 14606"	43.159531	-77.654266	Lake	281	Firearm	1	1	14606
-77.64127979	43.18082458	185	2	00-023025	2000-01-22T05:00:00.000Z	1	2000	2000-01-22T05:00:00.000Z	1	2000	0	OPEN	"411 DRIVING PARK AVE, ROCHESTER, NY, 14613"	43.180816	-77.641277	Lake	241	Firearm	1		14613
-77.61332478	43.17812358	184	3	00-026787	2000-01-25T05:00:00.000Z	1	2000	2000-01-25T05:00:00.000Z	1	2000	0	CLOSED	"1046 CLINTON AVE NORTH, ROCHESTER, NY, 14621"	43.178115	-77.613322	Clinton	247	Firearm	1	1	14621
-77.62521778	43.14265357	182	5	00-027146	2000-01-26T05:00:00.000Z	1	2000	2000-01-26T05:00:00.000Z	1	2000	0	CLOSED	"91 BARTLETT ST, ROCHESTER, NY, 14608"	43.142645	-77.625215	Genesee	233	Knife/Cutting Instrument	1	1	14608
-77.65535779	43.16454058	183	4	00-027628	2000-01-26T05:00:00.000Z	1	2000	2000-01-26T05:00:00.000Z	1	2000	0	CLOSED	"1149 LYELL AVE, ROCHESTER, NY, 14606"	43.164532	-77.655355	Lake	281	Blunt Object	1	1	14606
-77.61600178	43.17630358	181	6	00-039673	2000-02-06T05:00:00.000Z	2	2000	2000-02-06T05:00:00.000Z	2	2000	0	CLOSED	"61 FLOWER ST, ROCHESTER, NY, 14621"	43.176295	-77.615999	Clinton	247	Knife/Cutting Instrument	1	1	14621
-77.59569877	43.17215958	180	7	00-050871	2000-02-16T05:00:00.000Z	2	2000	2000-02-16T05:00:00.000Z	2	2000	0	OPEN	"42 LINCOLN ST, ROCHESTER, NY, 14605"	43.172151	-77.595696	Clinton	277	Firearm	1		14605
-77.61172378	43.19289158	179	8	00-056095	2000-02-21T05:00:00.000Z	2	2000	2000-02-21T05:00:00.000Z	2	2000	0	CLOSED	"1776 CLINTON AVE NORTH, ROCHESTER, NY, 14621"	43.192883	-77.611721	Clinton	207	Knife/Cutting Instrument	1	1	14621
-77.65197379	43.14622357	178	9	00-063129	2000-02-27T05:00:00.000Z	2	2000	2000-02-27T05:00:00.000Z	2	2000	0	OPEN	"30 SALINA ST, ROCHESTER, NY, 14611"	43.146215	-77.651971	Genesee	203	Firearm	1		14611
-77.63695278	43.15848857	177	10	00-075698	2000-03-09T05:00:00.000Z	3	2000	2000-03-09T05:00:00.000Z	3	2000	0	OPEN	"111 WHITNEY ST, ROCHESTER, NY, 14611"	43.15848	-77.63695	Lake	291	Firearm	1		14611
-77.63695278	43.15848857	176	11	00-076575	2000-03-09T05:00:00.000Z	3	2000	2000-03-09T05:00:00.000Z	3	2000	0	OPEN	"111 WHITNEY ST, ROCHESTER, NY, 14611"	43.15848	-77.63695	Lake	291	Firearm	1		14611
-77.60979077	43.14302057	175	12	00-080699	2000-03-10T05:00:00.000Z	3	2000	2000-03-13T04:00:00.000Z	3	2000	3	CLOSED	"34 HICKORY ST, ROCHESTER, NY, 14620"	43.143012	-77.609788	Central	229	Unknown	1	1	14620
-77.64243079	43.18627258	174	13	00-092835	2000-03-24T04:00:00.000Z	3	2000	2000-03-24T04:00:00.000Z	3	2000	0	OPEN	"402 AUGUSTINE ST, ROCHESTER, NY, 14613"	43.186264	-77.642428	Lake	221	Firearm	1		14613
-77.63100678	43.16047858	173	14	00-096182	2000-03-26T04:00:00.000Z	3	2000	2000-03-26T04:00:00.000Z	3	2000	0	CLOSED	"613 SMITH ST, ROCHESTER, NY, 14608"	43.16047	-77.631004	Lake	291	Firearm	1	1	14608
-77.62599578	43.16766558	172	15	00-118443	2000-04-15T04:00:00.000Z	4	2000	2000-04-15T04:00:00.000Z	4	2000	0	CLOSED	"2 JONES AVE, ROCHESTER, NY, 14608"	43.167657	-77.625993	Lake	271	Firearm	1	2	14608
-77.62351378	43.14153557	170	17	00-134543	2000-04-28T04:00:00.000Z	4	2000	2000-04-28T04:00:00.000Z	4	2000	0	CLOSED	"113 COLUMBIA AVE, ROCHESTER, NY, 14608"	43.141527	-77.623511	Genesee	233	Firearm	1	2	14608
-77.62351378	43.14153557	171	16	00-134713	2000-04-28T04:00:00.000Z	4	2000	2000-04-28T04:00:00.000Z	4	2000	0	CLOSED	"113 COLUMBIA AVE, ROCHESTER, NY, 14608"	43.141527	-77.623511	Genesee	233	Firearm	1	2	14608
-77.58859277	43.17675858	169	18	00-139524	2000-05-01T04:00:00.000Z	5	2000	2000-05-01T04:00:00.000Z	5	2000	0	CLOSED	"64 TRUST ST, ROCHESTER, NY, 14621"	43.17675	-77.58859	Clinton	267	Physical	1	1	14621
-77.61450778	43.17474758	168	19	00-188402	2000-06-07T04:00:00.000Z	6	2000	2000-06-09T04:00:00.000Z	6	2000	2	CLOSED	"355 CLIFFORD AVE, ROCHESTER, NY, 14621"	43.174739	-77.614505	Clinton	277	Other	1	2	14621
-77.62694578	43.15766258	167	20	00-194086	2000-06-11T04:00:00.000Z	6	2000	2000-06-11T04:00:00.000Z	6	2000	0	CLOSED	"53 ROMEYN ST, ROCHESTER, NY, 14608"	43.157654	-77.626943	Lake	291	Firearm	1	1	14608
-77.62694578	43.15766258	166	21	00-195008	2000-06-11T04:00:00.000Z	6	2000	2000-06-11T04:00:00.000Z	6	2000	0	CLOSED	"53 ROMEYN ST, ROCHESTER, NY, 14608"	43.157654	-77.626943	Lake	291	Firearm	1	1	14608
-77.62694578	43.15766258	165	22	00-195010	2000-06-11T04:00:00.000Z	6	2000	2000-06-11T04:00:00.000Z	6	2000	0	CLOSED	"53 ROMEYN ST, ROCHESTER, NY, 14608"	43.157654	-77.626943	Lake	291	Firearm	1	1	14608
-77.59860977	43.17764058	163	24	00-216363	2000-06-27T04:00:00.000Z	6	2000	2000-07-05T04:00:00.000Z	7	2000	8	CLOSED	"704 HUDSON AVE, ROCHESTER, NY, 14621"	43.177632	-77.598607	Clinton	257	Knife/Cutting Instrument	1	1	14621
-77.57024776	43.16913758	164	23	00-225842	2000-07-04T04:00:00.000Z	7	2000	2000-07-04T04:00:00.000Z	7	2000	0	CLOSED	"15 PARKSIDE AVE, ROCHESTER, NY, 14609"	43.169129	-77.570245	Goodman	215	Firearm	1	1	14609
-77.63448978	43.15229757	162	25	00-243079	2000-07-17T04:00:00.000Z	7	2000	2000-07-17T04:00:00.000Z	7	2000	0	CLOSED	"24 EDDY ST, ROCHESTER, NY, 14611"	43.152289	-77.634487	Genesee	213	Firearm	1	1	14611
-77.59798477	43.17746158	161	26	00-269322	2000-08-06T04:00:00.000Z	8	2000	2000-08-06T04:00:00.000Z	8	2000	0	CLOSED	"286 BERNARD ST, ROCHESTER, NY, 14621"	43.177453	-77.597982	Clinton	257	Firearm	1	1	14621
-77.60295577	43.18088758	160	27	00-271562	2000-08-07T04:00:00.000Z	8	2000	2000-08-13T04:00:00.000Z	8	2000	6	OPEN	"752 AVENUE D, ROCHESTER, NY, 14621"	43.180879	-77.602953	Clinton	257	Blunt Object	1		14621
-77.62874578	43.17234558	159	28	00-283980	2000-08-17T04:00:00.000Z	8	2000	2000-08-17T04:00:00.000Z	8	2000	0	OPEN	"417 LAKE AVE, ROCHESTER, NY, 14613"	43.172337	-77.628743	Lake	271	Firearm	1		14613
-77.58258777	43.16745058	158	29	00-287735	2000-08-19T04:00:00.000Z	8	2000	2000-08-19T04:00:00.000Z	8	2000	0	CLOSED	"43 SIXTH ST, ROCHESTER, NY, 14605"	43.167442	-77.582585	Clinton	297	Firearm	1	1	14605
-77.60492577	43.17800158	157	30	00-300771	2000-08-29T04:00:00.000Z	8	2000	2000-08-29T04:00:00.000Z	8	2000	0	CLOSED	"133 THOMAS ST, ROCHESTER, NY, 14621"	43.177993	-77.604923	Clinton	257	Firearm	1	3	14621
-77.63461678	43.17546758	156	31	00-348452	2000-10-06T04:00:00.000Z	10	2000	2000-10-06T04:00:00.000Z	10	2000	0	CLOSED	"4 TACOMA ST, ROCHESTER, NY, 14613"	43.175459	-77.634614	Lake	251	Firearm	1	2	14613
-77.61036778	43.18105158	155	32	00-356077	2000-10-12T04:00:00.000Z	10	2000	2000-10-12T04:00:00.000Z	10	2000	0	CLOSED	"15 PARDEE ST, ROCHESTER, NY, 14621"	43.181043	-77.610365	Clinton	217	Firearm	1	2	14621
-77.64649479	43.16007057	154	33	00-357263	2000-10-13T04:00:00.000Z	10	2000	2000-10-13T04:00:00.000Z	10	2000	0	CLOSED	"488 HAGUE ST, ROCHESTER, NY, 14606"	43.160062	-77.646492	Lake	281	Firearm	1	1	14606
-77.62945178	43.14411757	153	34	00-357382	2000-10-14T04:00:00.000Z	10	2000	2000-10-14T04:00:00.000Z	10	2000	0	CLOSED	"545 JEFFERSON AVE, ROCHESTER, NY, 14611"	43.144109	-77.629449	Genesee	233	Firearm	1	1	14611
-77.57232676	43.16554158	152	35	00-374918	2000-10-28T04:00:00.000Z	10	2000	2000-10-28T04:00:00.000Z	10	2000	0	CLOSED	"245 PARSELLS AVE, ROCHESTER, NY, 14609"	43.165533	-77.572324	Goodman	215	Firearm	1	1	14609
